cycle,cmte_id,cmte_nm,cmte_dsgn,cmte_tp,cmte_pty_affiliation,org_tp,connected_org_nm,cand_id,cand_pty_affiliation,cand_office
2018,C00000018,IRONWORKERS LOCAL UNION NO. 25 POLITICAL EDUCATION COMMITTEE,U,Q,,,IRON WORKERS; INT'L ASS'N OF BRIDGE...,H8TX22313,DEM,H
2018,C00000059,HALLMARK CARDS PAC,U,Q,UNK,C,,,,
2018,C00000422,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,B,Q,,,DELAWARE MEDICAL PAC,,,
2018,C00000489,D R I V E POLITICAL FUND CHAPTER 886,U,N,,L,TEAMSTERS LOCAL UNION 886,,,
2018,C00000547,KANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE,U,Q,UNK,M,KANSAS MEDICAL SOCIETY,,,
2018,C00000638,INDIANA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,U,Q,,M,INDIANA STATE MEDICAL ASSOCIATION,,,
2018,C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,B,Q,UNK,T,NEW JERSEY DENTAL PAC,,,
2018,C00000885,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMMITTEE,B,Q,UNK,L,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,,,
2018,C00000901,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),B,Q,UNK,T,NATIONAL ASSOCIATION OF HOME BUILDERS,,,
2018,C00000935,DCCC,U,Y,DEM,,,,,
2018,C00000984,UNITED STATES TELECOM ASSOCIATION POLITICAL ACTION COMMITTEE (TELECOMPAC),B,Q,UNK,T,UNITED STATES TELECOM ASSOCIATION,,,
2018,C00001016,CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE UNITED BROTHERHOOD OF CARPENTERS AND JOINERS,B,Q,NNE,L,UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF AMERICA,,,
2018,C00001180,MICHIGAN DOCTORS POLITICAL ACTION COMMITTEE - MICHIGAN STATE MEDICAL SOCIETY,U,Q,NNE,T,MICHIGAN STATE MEDICAL SOCIETY,,,
2018,C00001198,AMERICAN HOTEL AND LODGING ASSOCIATION POLITICAL ACTION COMMITTEE ('HOTELPAC'),B,Q,,T,,,,
2018,C00001214,TEXAS MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,B,Q,NNE,T,AMPAC,,,
2018,C00001305,REPUBLICAN PARTY OF VIRGINIA INC,U,Y,REP,,NRSC TARGETED STATE VICTORY COMMITTEE,,,
2018,C00001313,REPUBLICAN PARTY OF MINNESOTA - FEDERAL,U,Y,REP,,PROTECT THE HOUSE,,,
