committee,side,labor,side_orig,labor_orig,changed,change_detail,entity_type,level,jurisdiction,is_conduit,confidence,evidence,source_url,proposed_by,reviewed,n_gifts,dollars,sources
NASSAU COUNTY REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,county,"Nassau County, NY",FALSE,high,The name states it is the official Republican Party county committee for Nassau County New York,,web-research-2026-08-08,yes,34179,13303335,nyboe
ACTBLUE,DEM,FALSE,,FALSE,yes,side:blank->DEM,conduit,federal,United States,TRUE,high,ActBlue is the Democratic Party's online fundraising conduit that passes earmarked small-dollar contributions through to Democratic candidates and progressive committees,https://ballotpedia.org/ActBlue,web-research-2026-08-08,yes,66850,9242888,fec
VOICE OF TEACHERS FOR EDUCATION OR COMMITTEE ON POLITICAL EDUCATION OF THE NEW YO,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,state,New York State,FALSE,high,VOTE-COPE is the political action arm of NYSUT the New York State United Teachers labor union and is funded by member payroll deductions,https://findingaids.nysed.gov/do/b50041d2-fff1-5ccf-a516-6c6df761d732,web-research-2026-08-08,yes,105291,8003277,nyboe
HARRIS VICTORY FUND,DEM,FALSE,,FALSE,yes,side:blank->DEM,joint_fundraising,federal,United States,FALSE,high,FEC committee C00744946 is the joint fundraising committee splitting receipts among Harris for President the DNC and Democratic state parties,https://www.opensecrets.org/joint-fundraising-committees-jfcs/harris-victory-fund/C00744946/2024/summary,web-research-2026-08-08,yes,15217,4067426,fec
WINRED,REP,FALSE,,FALSE,yes,side:blank->REP,conduit,federal,United States,TRUE,high,WinRed is the Republican Party's online conduit platform that processes and forwards earmarked contributions to GOP candidates and committees,https://en.wikipedia.org/wiki/WinRed,web-research-2026-08-08,yes,20466,3728786,fec
FRIENDS FOR KATHY HOCHUL,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Kathy Hochul is the Democratic Governor of New York since 2021 and this is her authorized state campaign committee,https://dbpedia.org/page/Kathy_Hochul,web-research-2026-08-08,yes,3099,3362693,nyboe
ANDREW CUOMO FOR NEW YORK INC.,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Andrew Cuomo is the Democratic former Governor of New York and this is his New York State registered candidate committee.,https://ballotpedia.org/Andrew_Cuomo,web-research-2026-08-08,yes,1234,3235780,nyboe
SMP,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,SMP is the FEC-registered name of Senate Majority PAC the Democratic independent-expenditure super PAC that works to elect Democrats to the U.S. Senate.,https://www.fec.gov/data/committee/C00484642/,web-research-2026-08-08,yes,655,3206604,fec
SUOZZI FOR NY,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Tom Suozzi is a Democrat who ran in the June 2022 New York Democratic gubernatorial primary using this state registered committee,https://ballotpedia.org/Tom_Suozzi,web-research-2026-08-08,yes,1963,3183141,nyboe
NASSAU COUNTY DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,county,"Nassau County, NY",FALSE,high,The name states it is the official Democratic Party county committee for Nassau County New York,,web-research-2026-08-08,yes,3993,2997384,nyboe
ZELDIN FOR NEW YORK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,Lee Zeldin is the Suffolk County Republican congressman who was the GOP nominee for New York governor in 2022 and this is his state campaign committee,https://www.nbcnews.com/politics/elections/gop-rep-lee-zeldin-announces-run-governor-new-york-n1263417,web-research-2026-08-08,yes,10673,2601913,nyboe
HMP,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,HMP is the FEC filing name of committee C00495028 House Majority PAC which is the super PAC dedicated to electing House Democrats,https://www.fec.gov/data/committee/C00495028/,web-research-2026-08-08,yes,1555,2446044,fec
HARRIS FOR PRESIDENT,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,United States,FALSE,high,FEC committee C00703975 is the principal campaign committee of Democrat Kamala Harris renamed from Biden for President in July 2024,https://www.fec.gov/data/committee/C00703975/?cycle=2024,web-research-2026-08-08,yes,18345,2139287,fec
"TRUMP NATIONAL COMMITTEE JFC, INC.",REP,FALSE,,FALSE,yes,side:blank->REP,joint_fundraising,federal,United States,FALSE,high,FEC committee C00873893 is the joint fundraising committee formed in March 2024 between the Donald Trump campaign and the Republican National Committee,https://www.fec.gov/data/committee/c00873893/,web-research-2026-08-08,yes,42977,1964070,fec
SUFFOLK COUNTY DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,county,"Suffolk County, NY",FALSE,high,The name states it is the official Democratic Party county committee for Suffolk County New York,,web-research-2026-08-08,yes,5613,1942427,nyboe
CURRAN FOR NASSAU,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,high,Laura Curran is the Democrat who served as Nassau County Executive from 2018 through 2021 before losing to Republican Bruce Blakeman,"https://en.wikipedia.org/wiki/2021_Nassau_County,_New_York_Executive_election",web-research-2026-08-08,yes,1960,1777582,nyboe
BLAKEMAN FOR NASSAU,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Nassau County, NY",FALSE,high,Bruce Blakeman is the Republican Nassau County Executive elected in 2021 and re-elected in 2025,https://en.wikipedia.org/wiki/2021_Nassau_County_Executive_election,web-research-2026-08-08,yes,1576,1625579,nyboe
FRIENDS OF ED MANGANO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Nassau County, NY",FALSE,high,Edward P. Mangano is a Republican who served as Nassau County Executive from 2010 to 2017 after serving in the Nassau County Legislature,https://dbpedia.org/page/Edward_P._Mangano,web-research-2026-08-08,yes,2859,1502552,nyboe
FRIENDS OF KATHLEEN RICE,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,high,Kathleen Rice was the Democratic Nassau County District Attorney from 2005 to 2015 and ran in the 2010 Democratic primary for New York Attorney General.,https://ballotpedia.org/Kathleen_Rice,web-research-2026-08-08,yes,796,1448086,nyboe
BELLONE FOR SUFFOLK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Steve Bellone is the Democrat who served as Suffolk County Executive from 2012 through 2023,https://en.wikipedia.org/wiki/Steve_Bellone,web-research-2026-08-08,yes,1459,1304647,nyboe
SUOZZI FOR CONGRESS,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,New York's 3rd Congressional District,FALSE,high,Tom Suozzi is the Democrat representing New York's 3rd Congressional District covering northern Nassau County,https://en.wikipedia.org/wiki/Tom_Suozzi,web-research-2026-08-08,yes,1560,1284070,fec
TOWN OF HEMPSTEAD REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Hempstead, NY",FALSE,high,The name states it is the official Republican Party town committee for the Town of Hempstead in Nassau County,,web-research-2026-08-08,yes,6934,1253935,nyboe
FRIENDS OF DON CLAVIN,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Hempstead, NY",FALSE,high,Don Clavin is the Republican Town of Hempstead Supervisor who unseated Democrat Laura Gillen in 2019 and served three terms,https://patch.com/new-york/gardencity/clavin-officially-declared-hempstead-town-supervisor,web-research-2026-08-08,yes,4319,1242459,nyboe
TOWN OF OYSTER BAY REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Oyster Bay, NY",FALSE,high,The name states it is the official Republican Party town committee for the Town of Oyster Bay in Nassau County,,web-research-2026-08-08,yes,6137,1205533,nyboe
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,federal,United States,FALSE,high,The committee name is the FEC registered name of the Democratic National Committee which is the national Democratic Party organization,,web-research-2026-08-08,yes,3463,1183957,fec
DINAPOLI 2022 INC.,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Thomas DiNapoli is the Democratic New York State Comptroller and this was his 2022 statewide reelection committee,https://en.wikipedia.org/wiki/Thomas_DiNapoli,web-research-2026-08-08,yes,1930,1005318,nyboe
TOWN OF BABYLON DEMOCRATIC COMMITTEE,DEM,FALSE,DEM,FALSE,no,,party_committee,town,"Town of Babylon, Suffolk County, NY",FALSE,high,The name identifies it as the official Democratic Party organization for the Town of Babylon in Suffolk County,,web-research-2026-08-08,yes,2365,997107,nyboe
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,ideological_pac,federal,United States,FALSE,high,FEC committee C00797670 is a membership-organization PAC connected to the AIPAC lobbying organization which funds both Democratic and Republican candidates on a single pro-Israel issue basis.,https://www.fec.gov/data/committee/C00797670/,web-research-2026-08-08,yes,627,981604,fec
CITIZENS FOR SALADINO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Oyster Bay, NY",FALSE,high,Joseph Saladino is a Republican and has been Supervisor of the Town of Oyster Bay since 2017 after serving as a Republican state assemblyman,https://dbpedia.org/page/Joseph_Saladino,web-research-2026-08-08,yes,3429,972699,nyboe
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,REP,FALSE,,FALSE,yes,side:blank->REP,joint_fundraising,federal,United States,FALSE,high,FEC committee C00770941 is the joint fundraising committee splitting receipts between Donald Trump's campaign and his Save America leadership PAC,https://www.fec.gov/data/committee/C00770941/,web-research-2026-08-08,yes,20774,923815,fec
CITIZENS FOR SANTINO,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Hempstead, NY",FALSE,high,Anthony J. Santino is the Republican who served as Town of Hempstead Supervisor from 2016 to 2017 after years as a GOP town councilman,https://ballotpedia.org/Anthony_J._Santino,web-research-2026-08-08,yes,4607,887911,nyboe
SCGOP,REP,FALSE,,FALSE,yes,side:blank->REP,party_committee,county,"Suffolk County, NY",FALSE,high,SCGOP is the abbreviation used throughout suffolkcountygop.com by the Suffolk County Republican committee headquartered in Medford NY,https://www.suffolkcountygop.com/,web-research-2026-08-08,yes,1960,837946,nyboe
HEALTHCARE ASSOCIATION OF NEW YORK STATE PAC,,FALSE,,FALSE,no,,trade_assoc_pac,state,New York State,FALSE,high,HANYS is an employer trade association representing not-for-profit and public hospitals and health systems rather than a labor union and its PAC gives to legislators of both parties,https://www.hanys.org/about/,web-research-2026-08-08,yes,2303,827545,nyboe
KAMINSKY FOR NEW YORK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Todd Kaminsky is a Democrat who represented the 9th New York State Senate district and was the 2021 Democratic nominee for Nassau County District Attorney,https://en.wikipedia.org/wiki/Todd_Kaminsky,web-research-2026-08-08,yes,919,753478,nyboe
FRIENDS OF PATAKI,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,state,New York State,FALSE,high,George Pataki is the Republican who served as Governor of New York from 1995 through 2006,https://en.wikipedia.org/wiki/George_Pataki,web-research-2026-08-08,yes,1357,727677,nyboe
WORKING FAMILIES PARTY INC.,DEM,FALSE,DEM,FALSE,no,,party_committee,state,New York State,FALSE,high,The New York Working Families Party is a ballot-qualified minor party that cross-endorses Democratic candidates and is folded to DEM under the project fusion rule,https://ballotpedia.org/Working_Families_Party_of_New_York,web-research-2026-08-08,yes,39293,722540,nyboe
FRIENDS OF MADELINE SINGAS,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Nassau County, NY",FALSE,high,Madeline Singas won the Nassau County District Attorney race in 2015 as the Democratic nominee and was later named to the Court of Appeals by Democratic Gov. Andrew Cuomo,https://ballotpedia.org/Madeline_Singas,web-research-2026-08-08,yes,956,719128,nyboe
CALONE FOR SUFFOLK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Dave Calone was the Democratic nominee for Suffolk County Executive in 2023 losing to Republican Ed Romaine,https://www.wshu.org/long-island-news/2023-10-27/ny-long-island-2023-general-election-guide,web-research-2026-08-08,yes,979,699396,nyboe
KATE MURRAY FOR SUPERVISOR,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Hempstead, NY",FALSE,high,Kate Murray is the Republican who served as Town of Hempstead Supervisor from 2003 through 2015,https://en.wikipedia.org/wiki/Kate_Murray_(New_York_politician),web-research-2026-08-08,yes,4473,676528,nyboe
DCCC,DEM,FALSE,,FALSE,yes,side:blank->DEM,party_committee,federal,United States,FALSE,high,DCCC is the FEC filer name of the Democratic Congressional Campaign Committee the Democratic national party committee for US House races,https://en.wikipedia.org/wiki/Democratic_Congressional_Campaign_Committee,web-research-2026-08-08,yes,5953,637648,fec
DESPOSITO FOR NEW YORK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,United States,FALSE,high,Anthony D'Esposito is the Republican who represented New York's 4th congressional district from 2023 to 2025 and this is his federal campaign committee.,https://en.wikipedia.org/wiki/Anthony_D%27Esposito,web-research-2026-08-08,yes,1034,623146,fec
ROMAINE FOR SUFFOLK,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,county,"Suffolk County, NY",FALSE,high,Ed Romaine is the Republican who flipped the Suffolk County Executive seat in November 2023 after serving as Brookhaven Town Supervisor,https://www.cbsnews.com/newyork/news/republican-ed-romaine-flips-suffolk-county-executive-seat-pledges-to-bring-county-together/,web-research-2026-08-08,yes,1912,619831,nyboe
NRSC,REP,FALSE,,FALSE,yes,side:blank->REP,party_committee,federal,United States,FALSE,high,NRSC is the FEC filer name of the National Republican Senatorial Committee the GOP national party committee for US Senate races,https://www.fec.gov/legal-resources/court-cases/democratic-senatorial-campaign-committee-v-national-republican-senatorial-committee/,web-research-2026-08-08,yes,10425,616329,fec
COMMITTEE TO ELECT A REPUBLICAN MAJORITY,REP,FALSE,REP,FALSE,no,,party_committee,state,New York State,FALSE,medium,The committee name states outright that its purpose is electing a Republican majority so the side is certain although the specific legislative body and level could not be verified because the NYSBOE public reporting site was unreachable,,web-research-2026-08-08,yes,2356,611331,nyboe
FRIENDS OF TOM SUOZZI,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,multi,New York State,FALSE,high,Tom Suozzi is a Democrat who served as Glen Cove Mayor and Nassau County Executive 2002-2009 and ran in Democratic gubernatorial primaries,https://en.wikipedia.org/wiki/Tom_Suozzi,web-research-2026-08-08,yes,746,589909,nyboe
REPUBLICAN NATIONAL COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,federal,United States,FALSE,high,The name states it is the national governing party committee of the Republican Party,,web-research-2026-08-08,yes,6483,576859,fec
TIM SINI FOR DA,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,county,"Suffolk County, NY",FALSE,high,Tim Sini (D) was elected Suffolk County District Attorney in 2017 after serving as Suffolk County Police Commissioner,https://tbrnewsmedia.com/tag/tim-sini/,web-research-2026-08-08,yes,598,566146,nyboe
REALTORS POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,trade_assoc_pac,state,New York State,FALSE,high,RPAC is the political arm of the REALTOR trade association and states it elects pro-REALTOR candidates of either party rather than a single party,https://www.nar.realtor/rpac,web-research-2026-08-08,yes,3546,525617,nyboe
