rank,committee,n_gifts,dollars,sources,state,cmte_tp,org_tp,connected_org,cum_pct_of_untagged,side,labor,corporate_trade,confidence,evidence,source_url,entity_type,idc_caucus,proposed_by,reviewed
1,NEW YORKERS FOR A BRIGHTER FUTURE,3547,271308.38,nyboe,in_master_no_party,,,,1.53,DEM,true,false,high,New Yorkers for a Brighter Future is the political action committee of NYSUT the New York State United Teachers labor union whose political funds back Democrats,https://upstateunited.com/2019/05/29/board-of-elections-enforcement-counsel-settles-with-nysut-over-alleged-election-law-violations/,union_pac,false,web-research-2026-08-09,yes
2,REALTORS POLITICAL ACTION COMMITTEE,3546,525616.66,nyboe,in_master_no_party,,,,3.06,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
3,HEALTHCARE ASSOCIATION OF NEW YORK STATE PAC,2303,827544.75,nyboe,in_master_no_party,,,,4.05,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
4,METLIFE INC. EMPLOYEES' POLITICAL PARTICIPATION FUND A,2117,131199.69,nyboe,in_master_no_party,Q,C,METLIFE INC.,4.97,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (fec:org_tp=corporate),yes
5,GEICO NEW YORK PAC,1872,7072.0,nyboe,in_master_no_party,,,,5.77,,false,true,high,GEICO is an auto insurance corporation and this is its New York registered employee PAC which funds incumbents of both parties,,corporate_pac,false,web-research-2026-08-09,yes
6,CITIGROUP INC PAC-STATE,1839,30656.72,nyboe,in_master_no_party,,,,6.57,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
7,NEW YORK ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE,1540,192005.85,nyboe,in_master_no_party,,,,7.23,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
8,MEDICAL SOCIETY OF THE STATE OF NEW YORK POLITICAL ACTION COMMITTEE,1432,268710.38,nyboe,in_master_no_party,,,,7.85,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
9,VERIZON COMMUNICATIONS INC. GOOD GOVERNMENT CLUB - NEW YORK,1412,17765.0,nyboe,in_master_no_party,,,,8.46,,false,true,high,This is the New York State employee political action committee of the telecom corporation Verizon Communications which funds incumbents of both parties,,corporate_pac,false,web-research-2026-08-09,yes
10,J.P. MORGAN CHASE & CO. STATE AND FEDERAL POLITICAL ACTION COMMITTEE,1368,65998.61,nyboe,in_master_no_party,,,,9.05,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
11,TEAM KENNEDY,1264,237735.91,fec,in_master_no_party,P,,NONE,9.59,,false,false,medium,FEC committee C00836916 is Robert F Kennedy Jr's presidential campaign which left the Democratic primary to run as an independent and later endorsed Trump so no single party was supported,https://www.fec.gov/data/committee/C00836916/,candidate,false,web-research-2026-08-09,yes
12,LAWPAC OF NEW YORK,1225,152112.79,nyboe,in_master_no_party,,,,10.12,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
13,BANK OF AMERICA NEW YORK POLITICAL ACTION COMMITTEE,980,12076.88,nyboe,in_master_no_party,,,,10.54,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
14,FRIENDS OF STEVE LEVY,772,487179.28,nyboe,in_master_no_party,,,,10.88,,false,false,medium,Steve Levy won Suffolk County Executive as a Democrat in 2003 and was re-elected in 2007 on both major party lines before switching to the Republican Party in 2010 so the committee spans both parties,https://en.wikipedia.org/wiki/Steve_Levy_(politician),candidate,false,web-research-2026-08-09,yes
15,JPMORGAN CHASE AND CO. PAC,673,11459.26,nyboe,in_master_no_party,,,,11.17,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
16,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,673,65625.0,fec,in_master_no_party,Q,W,NEW YORK LIFE INSURANCE COMPANY,11.46,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (fec:org_tp=corporate),yes
17,NATIONWIDE NEW YORK POLITICAL PARTICIPATION COMMITTEE,664,13161.25,nyboe,in_master_no_party,,,,11.74,,false,true,medium,Nationwide Mutual Insurance Company sponsors state Political Participation Committee PACs that give to officeholders of both parties,,corporate_pac,false,web-research-2026-08-09,yes
18,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,627,981604.0,fec,in_master_no_party,Q,M,,12.01,,false,false,high,The AIPAC PAC is a single issue pro-Israel membership organization PAC that funds both Democratic and Republican incumbents,https://www.fec.gov/data/committee/C00797670/,ideological_pac,false,web-research-2026-08-09,yes
19,PHARMACY PAC OF NEW YORK STATE,544,56435.0,nyboe,in_master_no_party,,,,12.25,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
20,FRIENDS OF GLENDA JACKSON,533,69713.0,nyboe,in_master_no_party,,,,12.48,,false,false,low,No New York officeholder or candidate named Glenda Jackson could be found in Ballotpedia or Long Island news archives so the office and party remain unknown,https://ballotpedia.org/Glenda_Jackson,candidate,false,web-research-2026-08-09,yes
21,NEW YORK STATE FARM ASSOCIATES POLITICAL ACTION COMMITTEE (NY SFA PAC),468,29875.0,nyboe,in_master_no_party,,,,12.68,,false,true,high,Professional or employer trade association PAC rather than a labor union and its giving goes to legislators of both parties,,trade_assoc_pac,false,rule-engine-2026-08-09 (trade_assoc:name),yes
22,HSBC TECHNOLOGY AND SERVICES USA INC. FEDERAL STATE AND LOCAL PAC,448,6741.0,nyboe,in_master_no_party,,,,12.87,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
23,WEST HEMPSTEAD REPUBLICAN COMMITTEE,445,64240.0,nyboe,not_in_fec_master,,,,13.06,REP,false,false,high,The committee name identifies it as a Republican Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:REP),yes
24,CONSOLIDATED EDISON INC EMPLOYEES POLITICAL ACTION COMMITTEE,445,41750.54,nyboe,in_master_no_party,,,,13.26,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
25,COMMITTEE TO ELECT SKYLER JOHNSON,442,72665.97,nyboe,not_in_fec_master,,,,13.45,DEM,false,false,high,Skyler Johnson is the Suffolk County Democrat who was the Democratic nominee for New York State Senate District 1 in 2020 and 2022,,candidate,false,web-research-2026-08-09,yes
26,FRIENDS OF JOHN MIKULIN,437,66588.0,nyboe,not_in_fec_master,,,,13.63,REP,false,false,high,John Mikulin is the Republican New York State Assemblymember for the 17th district in Nassau County,,candidate,false,web-research-2026-08-09,yes
27,FRIENDS OF NASRIN G. AHMAD,437,83143.0,nyboe,not_in_fec_master,,,,13.82,REP,false,false,high,Nasrin Ahmad received the Republican nomination for Town of Hempstead Town Clerk and was appointed to the post by the Republican controlled town board,"https://www.liherald.com/stories/ahmad-appointed-town-of-hempstead-clerk,49593",candidate,false,web-research-2026-08-09,yes
28,MOLINARO FOR NEW YORK,434,39073.06,nyboe,not_in_fec_master,,,,14.01,REP,false,false,high,Marc Molinaro is the Republican Dutchess County Executive who was the Republican nominee for Governor of New York in 2018,,candidate,false,web-research-2026-08-09,yes
29,ZELDIN FOR SENATE,431,94900.0,nyboe,not_in_fec_master,,,,14.2,REP,false,false,high,Lee Zeldin is the Republican who represented the 3rd New York State Senate district in Suffolk County from 2011 to 2014,,candidate,false,web-research-2026-08-09,yes
30,THE LINCOLN PROJECT,427,116715.0,fec,in_master_no_party,V,,NONE,14.38,DEM,false,false,medium,Assigned by deterministic rule: anti:lincoln-project,,ideological_pac,false,adversarial-review-2026-08-09,yes
31,FRIENDS OF STEVE BELLONE,427,175847.5,nyboe,not_in_fec_master,,,,14.56,DEM,false,false,high,Steve Bellone is the Democrat who served as Suffolk County Executive from 2012 through 2023,,candidate,false,web-research-2026-08-09,yes
32,INDEPENDENCE PARTY CHAIRMAN'S CLUB,426,108925.0,nyboe,not_in_fec_master,,,,14.75,,false,false,high,Minor-party committee (Independence Libertarian Green Reform SAM or Forward) which does not fold to either major party under the project convention,,other,false,rule-engine-2026-08-09 (neutral:minor-party),yes
33,PLAINVIEW REPUBLICAN COMMITTEE,422,72023.0,nyboe,not_in_fec_master,,,,14.93,REP,false,false,high,The committee name identifies it as a Republican Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:REP),yes
34,FRIENDS OF DR. BENNARDO,419,94792.32,nyboe,not_in_fec_master,,,,15.11,REP,false,false,high,Dr Dave Bennardo is the Huntington Town Councilman who runs on the Huntington Republican Committee slate,https://www.huntingtongop.org/dave_bennardo,candidate,false,web-research-2026-08-09,yes
35,FRIENDS OF ED ROMAINE,419,38990.0,nyboe,not_in_fec_master,,,,15.29,REP,false,false,high,Ed Romaine is the Republican who served as Brookhaven Town Supervisor and was elected Suffolk County Executive in 2023,,candidate,false,web-research-2026-08-09,yes
36,NEW YORKERS FOR DE BLASIO,418,442556.0,nyboe,not_in_fec_master,,,,15.47,DEM,false,false,high,Bill de Blasio is the Democrat who served as Mayor of New York City from 2014 to 2021 and this is his campaign committee,,candidate,false,web-research-2026-08-09,yes
37,NORPAC,418,599029.0,fec,in_master_no_party,Q,,NONE,15.65,,false,false,high,NORPAC describes itself as a non-partisan pro-Israel PAC that supports House and Senate members of either party based on their commitment to Israel,https://norpac.net/about,ideological_pac,false,web-research-2026-08-09,yes
38,DEMAND JUSTICE PAC,417,16477.0,fec,in_master_no_party,W,,NONE,15.83,DEM,false,false,high,Demand Justice PAC is the super PAC run by Democratic operative Brian Fallon that fights Republican judicial nominees and spends to support Democratic candidates,https://www.influencewatch.org/political-party/demand-justice-pac/,ideological_pac,false,web-research-2026-08-09,yes
39,BELL ATLANTIC CORPORATION PAC,417,19227.97,nyboe,not_in_fec_master,,,,16.01,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
40,FRIENDS OF KATE BROWNING,414,43522.5,nyboe,not_in_fec_master,,,,16.19,DEM,false,false,high,Kate Browning is the former Suffolk County Legislator listed by the Suffolk County Democratic Committee who ran as a Democrat for the county legislature and state senate,https://suffolkcountydems.com/candidate/kate-browning-0,candidate,false,web-research-2026-08-09,yes
41,FRIENDS OF KASSAY FOR ASSEMBLY,399,35616.08,nyboe,not_in_fec_master,,,,16.36,DEM,false,false,high,Rebecca Kassay is the Democrat who won New York's 4th Assembly District in Suffolk County in 2024,,candidate,false,web-research-2026-08-09,yes
42,NEW YORKERS FOR BETTER LIBRARIES PAC,398,46996.9,nyboe,not_in_fec_master,,,,16.53,,false,true,medium,This PAC was established by New York library leaders to lobby Albany for library funding and it rates and backs legislators of both parties,https://newyorkersforbetterlibraries.org/who-we-are/,trade_assoc_pac,false,web-research-2026-08-09,yes
43,DEM TURNOUT 2024,395,18894.0,fec,in_master_no_party,V,,STOP REPUBLICANS,16.7,DEM,false,false,high,Assigned by deterministic rule: party-name:DEM,,ideological_pac,false,adversarial-review-2026-08-09,yes
44,FRIENDS OF KEVIN MCCAFFREY,390,69202.7,nyboe,not_in_fec_master,,,,16.87,REP,false,false,high,Kevin McCaffrey is the Republican Suffolk County Legislator from Lindenhurst who serves as presiding officer of the county legislature,,candidate,false,web-research-2026-08-09,yes
45,FARRELL FRITZ P.C.,390,299705.0,nyboe,not_in_fec_master,,,,17.04,,false,true,high,Farrell Fritz is a Uniondale based Long Island law firm and law firm political accounts fund officeholders of both parties for access,,corporate_pac,false,web-research-2026-08-09,yes
46,TOWN OF HEMPSTEAD DEMOCRATIC COMMITTEE,389,41995.78,nyboe,not_in_fec_master,,,,17.21,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:DEM),yes
47,FRIENDS OF MICHAEL HENRY,383,39075.59,nyboe,not_in_fec_master,,,,17.37,REP,false,false,medium,Michael Henry was the Republican nominee for New York Attorney General in 2022 against Democrat Letitia James and no other New York candidate by that name was found,https://ballotpedia.org/Michael_Henry_(New_York),candidate,false,web-research-2026-08-09,yes
48,FRIENDS OF DELIA,383,66064.0,nyboe,not_in_fec_master,,,,17.54,DEM,false,false,high,Delia DeRiggi-Whitton is the Democratic Nassau County Legislator for the 11th district and chair of the Nassau County Democratic Committee,,candidate,false,web-research-2026-08-09,yes
49,OCCUPY DEMOCRATS ELECTION FUND,383,8802.0,fec,in_master_no_party,W,,NONE,17.7,DEM,false,false,high,Assigned by deterministic rule: party-name:DEM,,ideological_pac,false,adversarial-review-2026-08-09,yes
50,FRIENDS OF WILLIAM SPENCER,382,88409.0,nyboe,not_in_fec_master,,,,17.87,DEM,false,false,high,Dr William Spencer is the Democrat who represented the 18th district of the Suffolk County Legislature from 2012 to 2023,,candidate,false,web-research-2026-08-09,yes
51,MINEOLA DEMOCRATIC CLUB,382,23730.0,nyboe,not_in_fec_master,,,,18.03,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:DEM),yes
52,TOWN OF OYSTER BAY DEMOCRATIC COMMITTEE,380,60926.94,nyboe,not_in_fec_master,,,,18.2,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:DEM),yes
53,FRIENDS FOR THE ELECTION OF DEAN SKELOS,380,214683.5,nyboe,not_in_fec_master,,,,18.36,REP,false,false,high,Dean Skelos is the Republican from Rockville Centre who led the New York State Senate Republican majority,,candidate,false,web-research-2026-08-09,yes
54,IRON WORKERS LOCAL 40 VOLUNTARY COMMITTEE ON POLITICAL EDUCATION,378,7214.57,nyboe,not_in_fec_master,,,,18.52,DEM,true,false,medium,Labor union political fund identifiable from the union name or local number and New York union funds give overwhelmingly to Democrats,,union_pac,false,rule-engine-2026-08-09 (labor:union-keyword),yes
55,YOUNG DEMOCRATS OF NASSAU COUNTY,376,22965.03,nyboe,not_in_fec_master,,,,18.69,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:DEM),yes
56,RSLC VICTORY FUND,375,10750.0,fec,in_master_no_party,V,,NONE,18.85,REP,false,false,high,The committee name identifies it as a Republican Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:REP),yes
57,FRIENDS OF JOHN BROOKS,371,92081.59,nyboe,not_in_fec_master,,,,19.01,DEM,false,false,high,John E Brooks is the Democrat who represented the 8th New York State Senate district on Long Island from 2017 to 2022,,candidate,false,web-research-2026-08-09,yes
58,SERVICE AND HONOR,370,7154.0,fec,in_master_no_party,N,,NONE,19.17,REP,false,false,medium,FEC committee C00825281 is a joint fundraising committee whose participants are Jake Ellzey for Congress and 31 Days PAC and Jake Ellzey is a Texas Republican congressman,https://www.fec.gov/data/committee/C00825281/,joint_fundraising,false,adversarial-review-2026-08-09,yes
59,FRIENDS OF FRANK PETRONE,369,117386.0,nyboe,not_in_fec_master,,,,19.33,DEM,false,false,medium,Frank Petrone served as Huntington Town Supervisor as a Democrat and afterward led the Huntington Town Democratic Committee,https://huntingtonnow.com/petrone-stepping-down-as-huntington-democratic-leader/,candidate,false,adversarial-review-2026-08-09,yes
60,TEAM MAYRA,367,8650.0,fec,in_master_no_party,N,,NONE,19.49,REP,false,false,high,FEC committee C00821579 Team Mayra is the joint fundraising committee of Texas Republican congresswoman Mayra Flores,https://www.opensecrets.org/joint-fundraising-committees-jfcs/team-mayra/C00821579/2024/summary,joint_fundraising,false,web-research-2026-08-09,yes
61,FRIENDS FOR STEVE RHOADS,366,73528.0,nyboe,not_in_fec_master,,,,19.64,REP,false,false,high,Steve Rhoads is the Republican New York State Senator for the 5th district covering Bellmore and Merrick in Nassau County,,candidate,false,web-research-2026-08-09,yes
62,BAE SYSTEMS INC. POLITICAL ACTION COMMITTEE (BAE SYSTEMS USA PAC),366,12240.0,fec,in_master_no_party,Q,C,BAE SYSTEMS,19.8,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (fec:org_tp=corporate),yes
63,FRIENDS FOR TRISH BERGIN,366,61435.0,nyboe,not_in_fec_master,,,,19.96,REP,false,false,high,Trish Bergin is the Republican former Islip Town Councilwoman who represents the 3rd New York State Assembly district,,candidate,false,web-research-2026-08-09,yes
64,MAUREEN O'CONNELL FOR COUNTY CLERK,361,75725.0,nyboe,not_in_fec_master,,,,20.11,REP,false,false,high,Maureen O'Connell is the Republican who served as Nassau County Clerk after representing Nassau County in the State Assembly as a Republican,,candidate,false,web-research-2026-08-09,yes
65,EQUALITY PAC,359,34268.0,fec,in_master_no_party,W,,NO VOTE LEFT BEHIND PAC,20.27,DEM,false,false,high,Equality PAC is the political arm of the Congressional LGBTQ+ Equality Caucus and its reported direct candidate contributions went entirely to Democrats,https://www.influencewatch.org/political-party/equality-pac/,ideological_pac,false,web-research-2026-08-09,yes
66,COMMITTEE TO ELECT JOHN FERRETTI,359,45561.1,nyboe,not_in_fec_master,,,,20.42,REP,false,false,high,John Ferretti Jr is the Republican Nassau County Legislator from Levittown who won the 2025 election for Town of Hempstead Supervisor,,candidate,false,web-research-2026-08-09,yes
67,KATHLEEN RICE 2010,359,425901.0,nyboe,not_in_fec_master,,,,20.58,DEM,false,false,high,Kathleen Rice was the Democratic Nassau County District Attorney who ran in the 2010 Democratic primary for New York Attorney General,,candidate,false,web-research-2026-08-09,yes
68,FRIENDS OF DAVID DENENBERG,355,93058.31,nyboe,not_in_fec_master,,,,20.73,DEM,false,false,high,David Denenberg was the Democratic Nassau County Legislator representing the 19th district covering Merrick and Bellmore,,candidate,false,web-research-2026-08-09,yes
69,FRIENDS OF ANTHONY ERAMO,354,62940.0,nyboe,not_in_fec_master,,,,20.88,DEM,false,false,high,Anthony Eramo is the Democratic Long Beach City Council member who was the Democratic nominee for the 20th New York State Assembly district in 2018,,candidate,false,web-research-2026-08-09,yes
70,COMMITTEE TO ELECT PHILIP RAMOS,352,105943.02,nyboe,not_in_fec_master,,,,21.04,DEM,false,false,high,Phil Ramos is the Democrat who has represented the 6th New York State Assembly district in Brentwood since 2003,,candidate,false,web-research-2026-08-09,yes
71,MARCH ON PAC,351,6728.0,fec,in_master_no_party,W,,FUTURE DEMOCRATS PAC,21.19,DEM,false,false,medium,March On PAC is the progressive PAC that grew out of the Women's March and its published endorsement slates back Democratic candidates,https://marchonpac.com/,ideological_pac,false,adversarial-review-2026-08-09,yes
72,FRIENDS OF LARRY ZACARESE,351,48199.71,nyboe,not_in_fec_master,,,,21.34,REP,false,false,medium,Larry Zacarese ran for Suffolk County Sheriff in 2017 as the Republican and Conservative candidate against Democrat Errol Toulon Jr,,candidate,false,web-research-2026-08-09,yes
73,FRIENDS OF AL KRUPSKI,350,48717.0,nyboe,not_in_fec_master,,,,21.49,DEM,false,false,high,Al Krupski is the Democrat who represented the 1st district of the Suffolk County Legislature and was elected Southold Town Supervisor in 2023,,candidate,false,web-research-2026-08-09,yes
74,NEW YORKERS FOR EQUAL RIGHTS,348,8077.88,nyboe,not_in_fec_master,,,,21.64,DEM,false,false,medium,New Yorkers for Equal Rights was the 2024 ballot campaign for New York Proposal 1 funded by the NYCLU Planned Parenthood and SEIU and championed by Democrats against organized Republican opposition,https://www.cityandstateny.com/politics/2024/07/proponents-and-detractors-spend-big-new-york-equal-rights-amendment/398096/,ideological_pac,false,web-research-2026-08-09,yes
75,JERICHO REPUBLICAN CLUB,348,43000.0,nyboe,not_in_fec_master,,,,21.79,REP,false,false,high,The committee name identifies it as a Republican Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:REP),yes
76,CITIZENS FOR FRED THIELE,348,50405.0,nyboe,not_in_fec_master,,,,21.94,,false,false,medium,Fred Thiele sat in the Assembly as a Republican for roughly 15 years then was enrolled in the Independence Party until about 2021 before becoming a Democrat so the committee spans three lines,https://ballotpedia.org/Fred_Thiele,candidate,false,adversarial-review-2026-08-09,yes
77,FRIENDS OF JEN HEBERT,347,54112.0,nyboe,not_in_fec_master,,,,22.09,DEM,false,false,medium,Jennifer Hebert is the Democratic Huntington Town Council candidate listed by the Suffolk County Democratic Committee,https://patch.com/new-york/huntington/candidate-profile-jen-hebert-huntington-town-council-2023,candidate,false,adversarial-review-2026-08-09,yes
78,KAMINSKY FOR NASSAU,345,438943.0,nyboe,not_in_fec_master,,,,22.24,DEM,false,false,high,Todd Kaminsky is the Democratic New York State Senator from Nassau who was the Democratic nominee for Nassau County District Attorney in 2021,,candidate,false,web-research-2026-08-09,yes
79,NIXON PEABODY LLP PAC,345,21858.54,fec+nyboe,in_master_no_party,Q,,NONE,22.39,,false,true,medium,Corporate or professional firm PAC identifiable from the company name and PAC naming convention which funds incumbents of both parties,,corporate_pac,false,rule-engine-2026-08-09 (corporate:name-shape),yes
80,DARLING FOR NY,345,53490.0,nyboe,not_in_fec_master,,,,22.54,DEM,false,false,high,Taylor Darling is the Democratic New York State Assemblymember for the 18th district in Hempstead Nassau County and campaigns under the handle darlingforny,https://en.wikipedia.org/wiki/Taylor_Darling_(politician),candidate,false,web-research-2026-08-09,yes
81,FRIENDS OF JEANINE DRISCOLL,344,66603.1,nyboe,not_in_fec_master,,,,22.68,REP,false,false,medium,Jeanine Driscoll won the Republican primary in New York's 4th congressional district and faces Democrat Laura Gillen,https://www.longislandpress.com/2026/06/23/driscoll-to-face-gillen/,candidate,false,adversarial-review-2026-08-09,yes
82,FRIENDS OF DEAN MURRAY,339,44685.0,nyboe,not_in_fec_master,,,,22.83,REP,false,false,high,Dean Murray is the Republican New York State Senator for the 3rd district in Suffolk County and a former Republican Assemblymember,,candidate,false,web-research-2026-08-09,yes
83,FRIENDS OF JOHN ROUSE,338,103432.92,nyboe,not_in_fec_master,,,,22.98,,false,false,medium,John H. Rouse is a Suffolk County Court judge and acting Supreme Court justice so the judicial cross-endorsement rule applies and no single party line can be established,https://suffolkcountydems.com/officeholder/john-h-rouse,candidate,false,adversarial-review-2026-08-09,yes
84,GLEN COVE DEMOCRATIC COMMITTEE,337,53523.0,nyboe,not_in_fec_master,,,,23.12,DEM,false,false,high,The committee name identifies it as a Democratic Party organization club or campaign committee,,party_committee,false,rule-engine-2026-08-09 (party-name:DEM),yes
85,FRIENDS OF DAVE KERPEN,337,63240.0,nyboe,not_in_fec_master,,,,23.27,DEM,false,false,medium,Dave Kerpen of Port Washington is the Democratic candidate for North Hempstead Town Supervisor against Republican-line incumbent Jennifer DeSena,https://www.longislandpress.com/2025/02/12/north-hempstead-dave-kerpen/,candidate,false,adversarial-review-2026-08-09,yes
86,FRIENDS OF JOHN COCHRANE,337,51448.0,nyboe,not_in_fec_master,,,,23.41,REP,false,false,high,John Cochrane Jr. is an Islip Town Councilman who runs on the Republican and Conservative lines,"https://www.suffolkcountynews.net/stories/john-cochrane-jr-republican-conservative,8645",candidate,false,web-research-2026-08-09,yes
87,FRIENDS OF JUDY GRIFFIN,336,48046.0,nyboe,not_in_fec_master,,,,23.56,DEM,false,false,high,Judy Griffin is the Democratic former New York State Assemblymember for the 21st district in Nassau County,,candidate,false,web-research-2026-08-09,yes
88,LESKO FOR SUPERVISOR,334,93465.0,nyboe,not_in_fec_master,,,,23.7,DEM,false,false,high,Mark Lesko is the Democratic former Brookhaven Town Supervisor listed as an officeholder by the Suffolk County Democratic Committee,https://en.wikipedia.org/wiki/Mark_Lesko,candidate,false,web-research-2026-08-09,yes
89,FRIENDS OF SARAH ANKER,334,46657.0,nyboe,not_in_fec_master,,,,23.85,DEM,false,false,high,Sarah Anker is the Democratic former Suffolk County Legislator for the 6th district,,candidate,false,web-research-2026-08-09,yes
90,BROOKHAMPTON CONSERVATIVE COMMITTEE,333,86252.12,nyboe,not_in_fec_master,,,,23.99,REP,false,false,high,Conservative Party of New York committee folded to REP under the project fusion convention since it cross-endorses Republican candidates,,party_committee,false,rule-engine-2026-08-09 (fusion:CONSERVATIVE->REP),yes
91,WELLPOINT INC. WELLPAC,331,6658.26,nyboe,not_in_fec_master,,,,24.13,,false,true,high,WellPAC is the employee-funded corporate PAC of health insurer WellPoint now Elevance Health which gives to incumbents of both parties,,corporate_pac,false,web-research-2026-08-09,yes
