rank,committee,resolved_name,n_gifts,dollars,sources,state,cmte_tp,org_tp,connected_org,cum_pct_of_untagged,side,labor,corporate_trade,confidence,evidence,source_url,entity_type,proposed_by,reviewed
1,C00633404,STOP REPUBLICANS,12677,314754.0,fec,in_master_no_party,V,,PROGRESSIVE TURNOUT PROJECT,8.33,DEM,false,false,high,Stop Republicans is FEC committee C00633404 and operates as a sub-organization housed within the Democratic aligned Progressive Turnout Project in Chicago,https://nickgray.net/stop-republicans/,ideological_pac,carried-forward:committee_overrides_corrected:fecid,yes
2,C00603084,NDTC,6071,126178.0,fec,in_master_no_party,V,,DEMOCRATIC STRATEGY INSTITUTE,12.33,DEM,false,false,high,NDTC is the FEC-registered National Democratic Training Committee (C00603084) which trains Democratic candidates at traindemocrats.org,https://www.fec.gov/data/committee/C00603084/,ideological_pac,carried-forward:committee_overrides_corrected:fecid,yes
3,C00495028,HMP,5568,3558301.0,fec,in_master_no_party,W,,NONE,15.99,DEM,false,false,high,HMP is the FEC filing name of committee C00495028 House Majority PAC which is the super PAC dedicated to electing House Democrats,https://www.fec.gov/data/committee/C00495028/,ideological_pac,carried-forward:committee_overrides_corrected:fecid,yes
4,C00158881,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,3448,326178.0,fec,in_master_no_party,Q,W,NEW YORK LIFE INSURANCE COMPANY,18.25,,false,true,high,FEC lists C00158881 as a corporate PAC connected to New York Life Insurance Company which gives to both parties,https://www.fec.gov/data/committee/C00158881/,corporate_pac,carried-forward:committee_overrides_corrected:fecid,yes
5,REALTORS POLITICAL ACTION COMMITTEE,,1919,332506.59,nyboe,in_master_no_party,,,,19.51,,false,true,high,RPAC is the political arm of the REALTOR trade association and states it elects pro-REALTOR candidates of either party rather than a single party,https://www.nar.realtor/rpac,trade_assoc_pac,carried-forward:committee_overrides_corrected:name,yes
6,"ADAMS, ERIC L",,1622,1060110.1,nyccfb,not_in_fec_master,,,,20.58,DEM,false,false,medium,Eric Adams won the Brooklyn Borough President race and the 2021 mayoral race on the Democratic line and only his abbreviated 2025 run used an independent line,,candidate,web-research-v2-2026-08-10,yes
7,C00247403,NORPAC,1579,1677320.0,fec,in_master_no_party,Q,,NONE,21.62,,false,false,high,NORPAC is the New Jersey based pro-Israel PAC that funds pro-Israel incumbents of both parties so no party lean applies,https://www.fec.gov/data/committee/C00247403/,ideological_pac,web-research-v2-pass2-2026-08-10,yes
8,C00745786,DSI,1520,32878.0,fec,in_master_no_party,V,,NATIONAL DEMOCRATIC TRAINING COMMITTEE,22.62,DEM,false,false,high,FEC committee C00745786 filing under the short name DSI is the Democratic Strategy Institute hybrid PAC whose purpose is electing Democrats,https://www.fec.gov/data/committee/C00745786/,ideological_pac,carried-forward:committees_tagged:fecid,yes
9,NEW YORK ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE,,1481,184567.28,nyboe,in_master_no_party,,,,23.59,,false,true,medium,NYAPAC is the PAC of the New York State Society of Anesthesiologists which is a physicians professional society rather than a union and it gives to Albany incumbents of both parties,https://www.transparencyusa.org/ny/committee/new-york-anesthesiologists-pac-nyapac-1587/contributors?cycle=2022-election-cycle,trade_assoc_pac,carried-forward:committee_overrides_corrected:name,yes
10,C00836916,TEAM KENNEDY,1458,272337.0,fec,in_master_no_party,P,,NONE,24.55,,false,false,high,FEC C00836916 is TEAM KENNEDY the principal presidential campaign committee of Robert F Kennedy Jr who ran as an independent so no major party applies,https://www.fec.gov/data/committee/C00836916/,candidate,web-research-v2-pass2-2026-08-10,yes
11,C00281212,BAE SYSTEMS,1442,43693.0,fec,in_master_no_party,Q,C,BAE SYSTEMS,25.5,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
12,C00797670,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,1360,2235988.0,fec,in_master_no_party,Q,M,,26.39,,false,false,high,FEC C00797670 is the American Israel Public Affairs Committee PAC a bipartisan pro-Israel membership PAC that funds incumbents of both parties,https://www.fec.gov/data/committee/C00797670/,ideological_pac,web-research-v2-pass2-2026-08-10,yes
13,HEALTHCARE ASSOCIATION OF NEW YORK STATE PAC,,1323,478076.25,nyboe,in_master_no_party,,,,27.26,,false,true,high,HANYS is an employer trade association representing not-for-profit and public hospitals and health systems rather than a labor union and its PAC gives to legislators of both parties,https://www.hanys.org/about/,trade_assoc_pac,carried-forward:committee_overrides_corrected:name,yes
14,C00483883,RETIRED AMERICANS PAC,1098,22528.0,fec,in_master_no_party,O,,,27.98,DEM,false,false,medium,"Retired Americans PAC is the PAC of the Alliance for Retired Americans, a 501(c)(4) retiree advocacy organization founded by the AFL-CIO in 2001. It supports Democratic candidates. It is AFL-CIO-affiliated but is not itself a labor union and its PAC is not a union separate segregated fund, so it does not meet this project's labor-union definition.",https://retiredamericanspac.org/,ideological_pac,carried-forward:committee_overrides_corrected:resolved-fec-name,yes
15,C00692319,VPP,1077,37750.0,fec,in_master_no_party,W,,NONE,28.69,DEM,false,false,medium,VPP is the Voter Protection Project a political action committee founded by Democrat Andrew Janz that directs all of its expenditures to Democratic candidates,https://www.influencewatch.org/political-party/voter-protection-project/,ideological_pac,carried-forward:committee_overrides_corrected:resolved-fec-name,yes
16,"CROWLEY, ELIZABETH S",,892,170078.0,nyccfb,not_in_fec_master,,,,29.28,DEM,false,false,high,Elizabeth Crowley is a Democrat who served on the New York City Council from Queens and ran in Democratic primaries for Queens Borough President,,candidate,web-research-v2-2026-08-10,yes
17,C00007880,CREDIT UNION NATIONAL ASSOCIATION,866,50678.0,fec,in_master_no_party,Q,T,CREDIT UNION NATIONAL ASSOCIATION,29.85,,false,true,high,FEC registers this committee with organization type T meaning a trade association so it is an industry PAC that funds candidates of both parties,,trade_assoc_pac,rule-engine-v2 (fec:org_tp=trade_assoc),yes
18,C00284885,THE HOME DEPOT INC.,861,15616.0,fec,in_master_no_party,Q,C,THE HOME DEPOT INC.,30.41,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
19,"SLIWA, CURTIS",,855,55826.28,nyccfb,not_in_fec_master,,,,30.98,REP,false,false,high,Curtis Sliwa was the Republican nominee for Mayor of New York City in 2021 and 2025,,candidate,web-research-v2-2026-08-10,yes
20,"SLIWA, CURTIS A",,820,72272.01,nyccfb,not_in_fec_master,,,,31.51,REP,false,false,high,Curtis Sliwa was the Republican nominee for Mayor of New York City in 2021 and 2025 and this is the same person as the other Sliwa spelling,,candidate,web-research-v2-2026-08-10,yes
21,C00764860,THE 1776 PROJECT PAC,815,20452.0,fec,in_master_no_party,V,,NONE,32.05,REP,false,false,medium,Conservative federal PAC founded by Ryan Girdusky that funds right-leaning school board candidates and operates as a Republican-aligned group,https://1776projectpac.com/about/,ideological_pac,carried-forward:committees_tagged:resolved-fec-name,yes
22,C00757419,SD PAC,801,22629.0,fec,in_master_no_party,N,,NONE,32.58,DEM,false,false,high,SD PAC is Save Democracy PAC a Democratic hybrid PAC affiliated with Crush MAGA PAC and Stop Project 2025,https://docquery.fec.gov/cgi-bin/forms/C00879221/1807994/,ideological_pac,carried-forward:committees_tagged:resolved-fec-name,yes
23,C00118943,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,800,73693.0,fec,in_master_no_party,Q,W,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,33.1,,false,true,high,FEC registers this committee with organization type C or W meaning a corporation so it is an employer-sponsored PAC that funds incumbents of both parties,,corporate_pac,rule-engine-v2 (fec:org_tp=corporate),yes
24,"YANG, ANDREW",,620,82011.85,nyccfb,not_in_fec_master,,,,33.51,DEM,false,false,high,Andrew Yang ran in the 2021 Democratic primary for Mayor of New York City,,candidate,web-research-v2-2026-08-10,yes
